StudentID,Year,Term,Course,FinalGrade
S10262,2026,Spring,PSY101,50.0
S12847,2039,Fall,HIST205,84.0
S10299,2026,Summer,CS150,78.4
S10159,2025,Spring,CHEM120,77.3
S11327,2031,Spring,HIST205,78.8
S10030,2025,Spring,ENG201,67.2
S10022,2025,Fall,ENG201,72.5
S11226,2031,Spring,ENG201,80.4
S10070,2025,Summer,BIO110,74.9
S11980,2034,Summer,ECON210,76.2
S12474,2037,Summer,CHEM120,90.4
S11763,2033,Fall,BIO110,69.9
S12502,2037,Summer,CHEM120,85.3
S12136,2035,Fall,BIO110,86.1
S11604,2033,Spring,MATH101,78.8
S11072,2030,Spring,HIST205,79.3
S12978,2039,Fall,HIST205,95.0
S12702,2038,Fall,CS150,100.0
S10260,2026,Spring,BIO110,65.9
S13026,2040,Summer,BIO110,93.5
S12478,2037,Fall,HIST205,77.3
S10293,2026,Summer,HIST205,80.1
S11467,2032,Spring,MATH101,84.5
S12603,2038,Spring,PSY101,79.8
S12285,2036,Spring,HIST205,90.4
S12402,2037,Spring,MATH101,83.6
S13103,2040,Fall,BIO110,100.0
S12837,2039,Spring,MATH101,100.0
S11330,2031,Spring,ENG201,92.2
S12394,2036,Spring,ECON210,86.0
S10636,2028,Summer,MATH101,82.6
S11310,2031,Spring,CS150,79.8
S10098,2025,Fall,CHEM120,72.0
S11201,2031,Fall,ECON210,76.6
S10806,2029,Spring,CHEM120,79.1
S10742,2028,Fall,ENG201,71.0
S11088,2030,Fall,ECON210,76.6
S12726,2038,Spring,CHEM120,97.4
S10499,2027,Fall,PSY101,63.6
S11777,2033,Spring,BIO110,82.4
S11218,2031,Spring,CHEM120,73.3
S11526,2032,Spring,ECON210,96.4
S10051,2025,Spring,CHEM120,68.9
S12791,2038,Summer,MATH101,84.9
S11315,2031,Spring,CS150,69.5
S10941,2029,Summer,BIO110,84.3
S11203,2031,Fall,PSY101,84.3
S12133,2035,Spring,PSY101,90.1
S11472,2032,Fall,ECON210,80.3
S12407,2037,Summer,CS150,94.6
S11884,2034,Summer,HIST205,83.8
S11307,2031,Fall,CS150,79.9
S10319,2026,Spring,CHEM120,72.3
S13123,2040,Summer,ECON210,89.1
S10403,2027,Spring,PSY101,75.0
S12659,2038,Summer,MATH101,93.8
S12273,2036,Fall,BIO110,86.9
S12240,2036,Spring,MATH101,87.5
S11364,2031,Spring,PSY101,89.6
S10860,2029,Fall,ENG201,79.0
S11676,2033,Spring,ENG201,92.4
S10887,2029,Spring,PSY101,74.5
S11705,2033,Spring,MATH101,80.7
S11550,2032,Spring,ENG201,80.5
S11114,2030,Summer,CS150,79.9
S12749,2038,Summer,ECON210,87.7
S12840,2039,Fall,ENG201,93.0
S12512,2037,Summer,ENG201,92.4
S11129,2030,Fall,HIST205,81.3
S10346,2026,Fall,ECON210,61.7
S12673,2038,Fall,ENG201,85.0
S12371,2036,Summer,ECON210,82.3
S12783,2038,Summer,CHEM120,81.0
S11649,2033,Spring,MATH101,100.0
S11511,2032,Summer,MATH101,79.8
S12698,2038,Spring,ECON210,94.3
S11299,2031,Fall,BIO110,82.6
S10601,2028,Fall,CS150,68.6
S11917,2034,Spring,CHEM120,79.0
S10643,2028,Spring,BIO110,64.0
S12959,2039,Fall,CHEM120,81.8
S11466,2032,Summer,BIO110,94.7
S13099,2040,Summer,ENG201,96.6
S12828,2039,Summer,MATH101,98.3
S11801,2034,Fall,CHEM120,83.5
S11448,2032,Spring,BIO110,91.2
S12107,2035,Summer,MATH101,90.4
S10916,2029,Summer,CS150,82.2
S11067,2030,Summer,ECON210,88.0
S12627,2038,Fall,MATH101,94.9
S10469,2027,Fall,CHEM120,70.1
S10624,2028,Summer,CHEM120,88.7
S13078,2040,Fall,CS150,93.9
S12884,2039,Fall,CHEM120,68.7
S12120,2035,Spring,CS150,100.0
S12703,2038,Spring,ENG201,97.5
S11023,2030,Fall,MATH101,95.8
S13114,2040,Summer,PSY101,95.1
S10074,2025,Fall,ENG201,51.0
S12224,2036,Fall,ECON210,81.5
S13032,2040,Spring,ECON210,95.6
S10055,2025,Summer,CHEM120,79.5
S11062,2030,Spring,CHEM120,87.9
S12720,2038,Summer,MATH101,100.0
S12759,2038,Spring,MATH101,94.3
S12071,2035,Spring,BIO110,95.2
S12549,2037,Summer,ECON210,100.0
S10677,2028,Fall,HIST205,90.0
S13071,2040,Spring,BIO110,100.0
S12945,2039,Summer,BIO110,81.5
S11791,2033,Summer,CHEM120,83.6
S11391,2031,Spring,MATH101,74.6
S13027,2040,Fall,PSY101,95.6
S11659,2033,Spring,BIO110,91.8
S12843,2039,Spring,CHEM120,81.3
S12263,2036,Fall,HIST205,78.1
S11695,2033,Spring,PSY101,98.2
S11670,2033,Spring,HIST205,80.8
S10201,2026,Summer,CHEM120,77.8
S13048,2040,Spring,HIST205,95.4
S13012,2040,Summer,MATH101,81.7
S11073,2030,Spring,HIST205,68.4
S12877,2039,Summer,PSY101,85.3
S10826,2029,Spring,PSY101,90.0
S10627,2028,Summer,MATH101,75.0
S11122,2030,Summer,CS150,83.8
S12332,2036,Summer,ECON210,74.5
S13130,2040,Spring,HIST205,91.3
S11342,2031,Fall,PSY101,83.5
S12183,2035,Fall,MATH101,96.3
S10850,2029,Spring,PSY101,72.3
S11765,2033,Spring,CS150,75.9
S11907,2034,Fall,ENG201,75.0
S11189,2030,Summer,ECON210,70.9
S13101,2040,Summer,PSY101,98.8
S11256,2031,Fall,MATH101,93.4
S11239,2031,Summer,MATH101,93.0
S11534,2032,Summer,BIO110,77.6
S10370,2026,Summer,CS150,73.5
S12245,2036,Summer,ECON210,87.5
S12289,2036,Summer,HIST205,98.0
S10530,2027,Fall,CHEM120,79.8
S12501,2037,Fall,HIST205,95.7
S11061,2030,Fall,ECON210,55.9
S13092,2040,Spring,ECON210,91.2
S12234,2036,Fall,PSY101,77.0
S12578,2037,Summer,CHEM120,90.2
S10739,2028,Spring,HIST205,84.1
S11040,2030,Summer,CHEM120,92.1
S12939,2039,Spring,BIO110,87.5
S11447,2032,Spring,HIST205,86.0
S11042,2030,Fall,ECON210,87.3
S12954,2039,Fall,ECON210,83.1
S11396,2031,Spring,CHEM120,69.2
S10604,2028,Summer,ENG201,79.3
S10280,2026,Fall,ENG201,74.2
S12745,2038,Fall,CS150,87.0
S11144,2030,Spring,CS150,77.3
S12162,2035,Summer,ECON210,89.3
S12206,2036,Spring,ENG201,98.5
S11998,2034,Fall,CHEM120,82.7
S13163,2040,Summer,CS150,86.4
S10066,2025,Fall,ENG201,71.4
S12419,2037,Fall,CS150,77.4
S11171,2030,Fall,PSY101,80.9
S10869,2029,Fall,ECON210,93.4
S10198,2025,Spring,PSY101,72.5
S10565,2027,Spring,CHEM120,71.4
S12000,2035,Fall,CHEM120,79.9
S12098,2035,Fall,PSY101,72.9
S10700,2028,Spring,HIST205,71.8
S12677,2038,Summer,CHEM120,76.8
S12291,2036,Fall,CS150,94.5
S11400,2032,Summer,MATH101,73.0
S12229,2036,Fall,MATH101,94.7
S12029,2035,Spring,MATH101,81.4
S10007,2025,Spring,CHEM120,78.1
S12771,2038,Summer,ENG201,83.4
S12199,2035,Summer,BIO110,89.2
S12560,2037,Fall,HIST205,79.9
S11155,2030,Summer,HIST205,86.7
S12239,2036,Spring,ENG201,92.2
S10505,2027,Spring,BIO110,70.8
S12609,2038,Spring,PSY101,99.5
S11995,2034,Fall,CHEM120,92.6
S11217,2031,Summer,CS150,82.2
S12646,2038,Fall,ENG201,86.4
S11370,2031,Summer,ENG201,78.6
S11967,2034,Summer,CS150,82.8
S11829,2034,Spring,HIST205,84.2
S11475,2032,Summer,CS150,86.5
S12020,2035,Fall,MATH101,85.8
S10634,2028,Fall,MATH101,67.9
S10637,2028,Spring,ECON210,76.6
S10813,2029,Fall,BIO110,78.9
S11946,2034,Fall,CS150,87.0
S12190,2035,Spring,ENG201,72.5
S11019,2030,Summer,CS150,82.1
S12516,2037,Spring,HIST205,88.7
S12679,2038,Summer,BIO110,87.2
S11658,2033,Summer,ECON210,74.6
S10366,2026,Summer,MATH101,75.1
S12875,2039,Spring,CS150,83.4
S11254,2031,Fall,ECON210,89.8
S10361,2026,Spring,CHEM120,85.6
S10817,2029,Fall,ENG201,84.5
S12717,2038,Spring,ECON210,96.4
S10031,2025,Summer,HIST205,86.8
S12507,2037,Summer,BIO110,98.0
S11934,2034,Fall,ENG201,100.0
S10966,2029,Fall,MATH101,71.9
S11417,2032,Fall,CHEM120,83.5
S13125,2040,Fall,CS150,97.9
S12216,2036,Spring,CS150,83.2
S11390,2031,Fall,CS150,83.7
S11590,2032,Summer,PSY101,72.8
S12250,2036,Fall,MATH101,85.6
S10009,2025,Fall,CHEM120,76.3
S10004,2025,Fall,ENG201,70.1
S10992,2029,Fall,PSY101,75.4
S13021,2040,Fall,MATH101,88.3
S10879,2029,Spring,CS150,86.8
S10136,2025,Summer,CHEM120,65.7
S13168,2040,Fall,ENG201,91.2
S13197,2040,Fall,BIO110,76.9
S12097,2035,Spring,CHEM120,76.8
S12626,2038,Spring,ECON210,100.0
S10656,2028,Summer,BIO110,76.1
S10349,2026,Summer,CHEM120,71.6
S12967,2039,Summer,BIO110,86.1
S12215,2036,Fall,MATH101,88.8
S10679,2028,Summer,HIST205,86.2
S10868,2029,Spring,ENG201,82.6
S10267,2026,Spring,ECON210,61.9
S10650,2028,Spring,PSY101,90.8
S11098,2030,Spring,MATH101,86.0
S10726,2028,Spring,PSY101,76.1
S10986,2029,Summer,CHEM120,89.4
S11673,2033,Summer,ECON210,75.3
S11123,2030,Summer,MATH101,69.5
S12141,2035,Fall,BIO110,85.7
S10286,2026,Summer,CS150,72.1
S12282,2036,Spring,ECON210,96.2
S10987,2029,Summer,ENG201,84.4
S11512,2032,Fall,ENG201,75.6
S10882,2029,Summer,ECON210,73.4
S12001,2035,Spring,CS150,84.2
S11883,2034,Spring,CS150,79.3
S11903,2034,Summer,MATH101,87.0
S10576,2027,Spring,HIST205,76.6
S10788,2028,Spring,CS150,75.4
S10165,2025,Fall,HIST205,75.3
S10783,2028,Summer,PSY101,80.9
S13017,2040,Summer,PSY101,69.3
S11781,2033,Spring,CS150,82.0
S10599,2027,Summer,PSY101,77.7
S11352,2031,Fall,ECON210,84.3
S12768,2038,Fall,ENG201,85.2
S10359,2026,Fall,MATH101,66.7
S10389,2026,Fall,BIO110,68.7
S12933,2039,Spring,ENG201,98.3
S10612,2028,Spring,CS150,78.2
S11865,2034,Fall,CS150,70.7
S10493,2027,Summer,CS150,67.8
S10061,2025,Fall,ENG201,70.5
S10000,2025,Fall,ENG201,76.0
S11337,2031,Summer,MATH101,77.6
S12338,2036,Summer,PSY101,86.7
S12471,2037,Fall,MATH101,100.0
S12115,2035,Fall,ECON210,81.2
S11025,2030,Spring,CS150,82.2
S10001,2025,Spring,HIST205,70.9
S11191,2030,Spring,BIO110,68.0
S12534,2037,Summer,HIST205,84.7
S10709,2028,Spring,MATH101,89.6
S11271,2031,Spring,PSY101,84.9
S12432,2037,Spring,ENG201,87.8
S12388,2036,Fall,BIO110,93.8
S11782,2033,Fall,CHEM120,70.6
S12425,2037,Spring,CHEM120,92.1
S11942,2034,Fall,HIST205,86.2
